personally	3
saved	5
unblocked	3
eligible	9
digit	6
activation	4
updates	8
school	54
bonanjo	5
wednesday	14
tired	4
direct	4
told	59
active	10
digits	4
changed	10
credit	25
permit	7
explained	4
total	16
sarah	9
hospital	3
negative	17
passport	5
type	6
successful	8
aware	4
phone	60
hold	4
updated	5
currency	4
uae	10
provide	12
verify	17
travel	11
machine	48
enquire	3
answer	19
earlier	3
demanding	3
wrong	34
effective	3
enter	23
operations	6
feedback	9
office	21
satisfied	3
deducted	120
personal	16
bibi	3
writing	9
weeks	56
fondzenyuy	6
bank	527
filling	4
financial	13
solution	6
nigerian	3
saturday	18
network	13
sms	31
debit	55
surprise	4
assured	3
ntm	3
created	22
atm	68
days	40
renew	10
signature	6
moving	4
overdraft	11
purpose	6
service	44
rejected	4
biyamassi	3
soonest	3
project	9
friend	3
mind	4
seex	6
talking	14
seek	3
regretting	4
contact	39
explanation	10
transactions	67
germany	4
letter	16
organization	6
left	27
contacted	4
menu	4
explain	14
haiti	3
earn	3
respond	5
dillard	3
recieve	4
decided	4
disturbing	4
unable	49
previous	9
wa	3
abraod	3
dã	5
picking	3
received	147
prudential	4
met	3
country	18
penalizing	3
receiver	9
login	16
trust	5
speak	11
frs	380
expected	4
entered	11
life	9
applied	50
air	3
suppose	8
balance	158
thã	18
study	4
procedure	7
mistake	10
customers	19
emergency	7
perform	4
fortan	3
nic	4
hand	3
savings	41
client	7
mother	3
mendong	10
cameroonian	3
whatsapp	8
save	10
opt	5
night	3
essos	3
beneficial	7
people	31
invoice	3
notification	11
pls	36
deleted	3
plz	3
disappeared	3
losing	3
brokerage	3
proceed	3
months	47
visa	43
afternoon	25
automatically	5
statements	3
civil	6
hallo	3
support	13
initial	5
knowing	5
avail	19
anderson	4
authorized	3
happy	12
head	3
form	13
paypal	9
reset	3
responding	10
urgent	7
attached	5
maximum	11
mtn	50
classic	3
request	34
promised	3
believable	4
check	53
handed	3
power	10
picture	9
update	34
transfers	3
weekend	4
daily	5
time	95
manager	75
grateful	10
bamenda	24
clarification	13
charge	6
division	3
prepaid	32
exact	6
level	5
leave	9
solved	9
discover	4
sign	17
cost	6
assistance	10
favour	3
current	62
reply	29
filled	3
yde	10
french	3
understanding	5
downloaded	15
address	6
monies	3
withdrawals	6
teacher	4
change	17
wait	20
box	6
sending	19
united	5
massage	6
love	11
sincerely	4
swallowed	4
market	3
visit	5
france	4
live	13
iphone	3
wondering	3
francs	11
mechine	3
wallet	59
figure	3
december	8
confused	3
agent	20
dropped	7
validated	6
secured	3
write	10
applications	3
mac	9
produce	11
guys	14
remember	5
succeeded	6
inform	4
deposit	34
talk	15
refund	14
deactivated	4
blocked	34
modalities	3
platform	5
limbe	14
mail	8
main	10
happened	11
finance	7
momo	109
tern	4
term	12
servant	6
january	12
drop	4
redraw	8
retrieve	5
receipt	7
entering	7
happen	4
worried	3
canada	7
space	4
increase	5
receiving	22
correct	6
card	331
care	3
advance	5
unpaid	3
waited	4
saving	16
submit	3
suspended	17
carry	9
impossible	7
message	91
tomorrow	18
iam	3
checked	23
remotely	4
garoua	4
slashed	4
holder	3
transferred	18
cards	8
anu	3
recover	4
massa	4
online	66
channel	3
multiple	7
trace	3
normal	10
dispute	3
paid	15
removed	16
discovered	10
slow	4
treasury	3
installed	5
stanley	4
concern	13
